age,income,region,device
43.0,67731.16,north,ios
29.6,51336.92,south,android
47.5,79116.71,north,android
49.4,50586.19,north,android
20.5,50450.77,west,ios
27.0,68116.97,south,android
41.3,71443.90,south,ios
36.8,66721.49,north,web
39.8,34716.04,south,ios
31.5,68070.52,north,android
48.8,44485.38,east,ios
47.8,63529.14,north,android
40.7,38643.98,west,android
51.3,66694.83,west,android
44.7,47901.02,north,ios
31.4,40760.48,north,web
43.7,70707.30,north,android
30.4,63624.67,east,android
48.8,50790.35,north,web
39.5,81767.68,west,web
38.2,53390.21,east,ios
33.2,60481.62,west,ios
52.2,64033.70,south,ios
38.5,50705.01,west,ios
35.7,67067.04,north,android
36.5,51998.21,south,web
45.3,53825.43,south,web
43.7,80439.64,west,android
44.1,44391.21,south,android
44.3,23808.30,west,web
61.4,84164.05,north,web
35.9,98239.92,west,ios
34.9,53920.96,south,android
31.9,30947.43,south,web
46.2,55342.74,west,ios
51.3,55706.66,south,android
38.9,57151.14,south,web
31.6,43299.18,south,web
31.8,68693.42,north,web
46.5,67867.61,south,android
47.4,37583.92,north,ios
45.4,70487.95,north,ios
33.3,90790.27,west,android
42.3,62579.40,south,android
41.2,54940.12,south,android
42.2,57869.95,south,android
48.7,69228.85,south,android
42.2,34039.93,east,android
46.8,62465.86,west,ios
40.7,54143.04,west,ios
42.9,87717.38,south,ios
46.3,57387.41,south,ios
25.4,85018.31,south,web
36.8,43443.89,south,android
35.3,68808.89,south,ios
33.6,64791.00,east,android
37.2,46964.29,south,android
54.9,62660.94,south,ios
31.3,78187.78,south,ios
49.7,55143.12,south,ios
23.2,34620.56,north,android
36.7,59736.56,north,ios
41.6,46463.65,east,ios
45.9,54864.89,south,ios
47.1,58776.18,north,android
47.9,34415.22,south,ios
36.5,35765.12,east,web
35.4,67231.00,north,ios
48.6,52159.22,west,android
38.1,21528.83,west,android
27.2,71772.66,south,android
28.7,64085.55,east,ios
30.8,49291.88,north,web
45.0,40247.55,west,web
41.4,72537.12,south,ios
46.9,65240.26,west,ios
35.7,95739.03,south,web
41.6,66302.83,north,android
46.3,65815.55,north,ios
36.9,57496.08,east,ios
44.6,72251.64,south,android
33.4,69376.28,north,android
36.4,78775.88,east,android
36.2,52180.16,west,web
28.0,53468.89,south,android
44.9,52813.45,south,ios
35.3,71862.03,north,android
40.1,82475.62,east,ios
44.8,53117.39,south,ios
44.5,53628.39,west,ios
46.7,64711.16,south,ios
39.0,56313.58,south,android
35.8,74280.80,north,ios
39.2,26223.34,north,android
23.1,47599.42,east,android
25.5,48263.75,south,android
26.8,25194.66,south,android
30.0,45545.42,west,web
44.0,46272.66,west,android
30.9,56983.43,west,ios
36.2,76694.49,north,android
53.0,56324.09,south,android
36.4,44537.79,west,ios
47.4,59145.68,south,ios
30.7,75737.60,north,ios
37.9,45360.62,west,android
30.5,46341.38,south,android
36.6,68378.23,south,ios
48.4,56676.96,west,web
22.7,69712.27,east,web
44.3,59795.30,south,ios
42.4,70524.95,south,web
34.1,44473.83,south,ios
25.5,59818.73,north,web
40.7,56839.65,east,web
34.7,41761.64,west,ios
42.3,36547.83,north,android
40.2,70286.24,south,web
56.0,54735.71,west,web
37.6,44665.80,north,web
29.8,58557.32,south,android
41.8,76920.28,south,ios
42.2,25788.93,east,web
53.6,37550.42,north,android
48.4,46156.70,east,android
43.6,81917.68,south,android
54.6,64238.80,east,android
28.1,71509.76,north,ios
33.6,42897.59,south,android
30.7,43206.96,south,ios
36.1,66717.21,north,android
26.2,60874.11,north,web
46.4,68231.08,north,android
37.8,57184.94,south,android
25.3,64172.16,north,ios
29.8,62371.79,west,web
43.1,71666.51,south,android
48.4,72105.12,west,ios
60.0,35701.92,west,ios
69.1,26290.97,north,ios
44.1,75026.18,east,android
30.1,77815.88,west,web
18.7,44690.65,east,android
42.7,32102.47,south,ios
31.9,61485.52,south,web
35.8,73962.57,north,ios
33.9,86963.92,south,web
38.6,67744.46,west,ios
50.7,54424.25,west,android
41.6,46603.04,north,web
38.4,60171.77,east,ios
29.6,55511.03,south,android
23.3,44773.98,west,web
35.1,90731.33,north,ios
39.5,86777.53,west,ios
57.7,77040.73,west,android
41.3,46187.24,north,ios
49.8,72825.29,north,ios
35.0,69594.40,west,android
28.2,66638.18,north,android
30.3,78744.98,south,ios
32.7,69530.57,west,ios
61.3,71100.21,south,web
31.8,69553.59,south,android
48.4,65111.87,south,web
31.0,33245.83,north,android
49.3,61254.32,west,web
43.8,51657.12,south,android
38.4,40802.39,north,ios
39.6,85227.25,north,web
