age,income,region,device
30.3,64158.02,west,android
55.4,84790.06,south,web
60.4,64329.74,south,web
47.5,81755.81,central,ios
26.4,70610.94,central,ios
55.8,85411.02,south,android
29.7,60114.37,east,web
51.4,96853.34,south,ios
38.2,53719.06,north,android
35.2,49503.07,west,ios
43.1,42849.21,north,ios
46.0,95965.37,south,android
40.9,73291.71,east,ios
54.5,55988.19,north,web
43.1,79735.34,north,ios
58.8,71315.38,south,web
51.1,90491.91,central,ios
40.3,37782.51,west,web
38.5,57019.60,south,android
29.9,54062.18,north,ios
51.2,31394.76,west,ios
44.1,76904.91,north,ios
21.9,56944.05,east,android
42.1,72094.47,central,web
38.1,96396.58,south,android
65.3,55701.34,south,android
29.3,54682.71,north,android
32.1,62779.96,north,android
60.2,75808.71,south,android
62.9,52499.30,central,android
39.8,51535.58,south,android
41.0,76857.84,east,web
54.8,66679.59,west,ios
22.4,30329.08,north,ios
27.5,42619.12,north,ios
44.9,83518.54,south,android
65.0,67028.92,west,ios
43.2,49567.06,south,web
49.1,58443.86,west,android
60.5,61198.55,central,android
71.2,72036.00,central,android
41.7,40626.05,central,ios
47.8,48385.76,central,web
68.0,65094.34,central,ios
31.3,59502.48,central,android
59.3,69577.89,west,web
36.8,42557.39,central,android
49.1,66356.93,central,web
45.3,77373.75,east,android
37.5,68302.28,west,web
37.2,63086.68,east,android
51.0,59561.75,central,android
59.0,48477.23,south,ios
46.6,59920.02,central,ios
48.8,79895.59,central,android
54.3,59214.57,central,ios
37.3,47652.94,south,android
56.1,53616.29,west,web
57.0,64012.75,central,web
76.6,55397.29,central,ios
43.9,68279.55,central,web
43.0,68842.66,east,ios
56.5,74334.75,east,android
57.0,82353.39,north,web
42.1,75937.88,central,ios
43.6,46986.41,south,ios
54.0,47446.98,west,ios
38.9,59863.43,central,android
43.5,54232.37,south,web
49.0,43925.10,south,ios
59.0,54374.62,north,ios
41.3,53882.31,central,android
27.7,50922.28,east,ios
26.9,56263.16,north,android
34.1,78676.76,west,web
33.6,63988.57,south,android
46.3,98077.14,central,web
34.9,63557.62,south,android
40.3,56649.01,south,web
39.5,61061.99,north,ios
43.2,64847.38,east,ios
62.5,67528.81,east,android
55.3,92150.67,central,ios
48.2,48320.19,east,web
42.9,73885.69,south,android
43.2,64116.26,south,web
51.6,37433.53,south,ios
54.4,72560.48,central,android
38.0,80014.35,north,android
48.4,48142.35,central,ios
25.7,60865.99,south,android
50.3,35119.69,north,android
56.4,42117.90,south,web
44.9,76720.44,north,android
68.0,54003.75,central,ios
38.3,44367.96,east,android
50.4,64441.91,south,android
47.6,53163.81,west,ios
46.9,53937.68,west,android
46.7,72089.89,central,ios
49.2,43574.00,central,ios
57.3,47419.52,west,android
63.2,63311.20,central,ios
48.0,75541.15,central,android
57.0,79572.40,east,ios
40.3,51024.07,west,android
56.4,75060.65,north,ios
39.6,49237.87,central,web
60.0,88393.14,central,ios
72.3,43993.43,north,android
46.7,80927.18,central,ios
23.9,51152.71,central,ios
42.0,91198.70,south,android
61.6,69869.81,east,web
54.1,45759.75,central,web
50.7,53166.42,central,ios
59.1,72717.72,north,ios
53.3,76789.67,south,android
61.4,59939.27,west,android
58.1,61669.87,south,ios
64.7,72375.30,south,android
51.9,62976.98,north,android
58.0,41597.43,north,android
44.6,48805.39,east,ios
41.4,64526.80,west,android
66.8,79232.24,west,ios
50.4,85239.74,central,android
56.9,72692.94,south,ios
49.4,65309.36,south,android
41.5,72232.21,north,android
48.1,50998.74,south,android
63.8,58701.54,south,ios
54.1,48638.04,north,ios
29.2,42268.86,north,android
45.6,66003.24,north,android
67.6,63782.70,west,web
45.6,71314.79,west,ios
28.2,69191.68,central,web
68.8,64639.66,central,ios
55.5,69349.25,east,ios
47.2,60359.75,north,ios
43.9,67193.37,east,android
59.9,50107.83,north,ios
42.0,66545.59,south,ios
60.6,71026.27,south,android
54.0,50954.78,south,android
50.7,61777.48,south,ios
49.6,51645.96,west,ios
46.1,53102.40,central,android
59.5,44126.06,central,ios
38.5,79986.62,west,ios
30.2,76985.28,east,android
54.8,69061.51,north,ios
54.9,90582.94,west,android
53.3,58161.31,east,ios
52.5,106476.44,south,ios
44.5,57587.06,south,ios
56.7,64827.90,central,ios
47.5,55033.33,west,ios
42.6,66584.88,east,ios
44.6,73534.22,west,web
70.2,59291.25,south,web
28.9,87650.80,east,ios
53.5,64587.24,south,android
29.5,65057.28,south,android
46.8,47365.03,west,web
43.2,67277.49,north,ios
25.1,58989.59,central,ios
52.3,51876.40,south,ios
43.8,49352.88,west,ios
24.9,101076.45,west,ios
57.2,57047.84,west,web
63.8,39145.22,west,web
64.4,50526.68,central,ios
51.9,60226.48,east,android
48.5,69200.01,west,android
62.6,69321.95,west,android
66.5,71149.22,south,android
60.5,51327.10,south,ios
37.6,66106.61,south,web
50.2,47859.11,south,web
52.8,51705.36,south,android
28.1,47234.37,south,android
53.2,43174.17,west,android
73.0,76963.14,south,ios
55.0,71329.18,central,ios
64.2,75649.98,south,android
50.0,61589.70,west,ios
47.2,72652.12,north,web
52.2,34580.66,east,android
39.0,73946.31,north,android
37.4,63656.80,west,ios
61.9,70406.64,south,web
63.1,66700.35,central,ios
37.1,46194.17,south,ios
58.6,38529.40,east,ios
47.0,50319.19,south,android
51.7,69473.76,west,web
53.1,71351.37,east,ios
58.9,40480.87,south,web
48.9,46283.51,south,ios
63.5,50151.46,north,android
51.4,55640.42,north,ios
54.9,40569.24,central,android
38.8,39669.22,south,android
71.7,48672.47,north,android
53.2,62293.81,central,ios
55.8,43291.08,north,web
30.3,59262.95,south,web
39.0,76878.29,west,android
61.6,41473.30,central,android
51.2,57903.31,west,android
26.9,76371.35,east,ios
59.4,54725.97,central,web
42.0,52394.95,north,ios
63.5,78452.44,central,android
47.0,56406.97,central,ios
50.3,77567.43,central,ios
61.0,67434.48,south,android
38.1,55857.33,north,android
37.1,68195.36,west,web
45.8,65806.74,east,web
